tweet_id,retweet_count,favorite_count
836001077879255040,4016,18319
835685285446955009,7663,0
835574547218894849,3396,17063
835536468978302976,1586,0
835309094223372289,19728,0
835297930240217089,2825,15817
835264098648616962,1586,7406
835246439529840640,67,2023
835172783151792128,5418,25133
835152434251116546,2834,21469
834931633769889797,1522,10345
834786237630337024,5219,20651
834574053763584002,2368,13095
834477809192075265,10045,0
834458053273591808,1583,9236
834209720923721728,4466,19699
834167344700198914,3467,15198
834089966724603904,2017,9644
834086379323871233,2083,12526
833863086058651648,2267,12922
833826103416520705,3567,17455
833732339549220864,209,0
833722901757046785,3070,20102
833479644947025920,1934,14322
833124694597443584,4578,19441
832998151111966721,2073,12728
832769181346996225,38,0
832757312314028032,3420,16217
832682457690300417,2747,11412
832645525019123713,502,2813
832636094638288896,2632,15268
832397543355072512,2093,11506
832369877331693569,3019,16500
832273440279240704,2214,10910
832215909146226688,5888,0
832215726631055365,8817,0
832088576586297345,2,61
832040443403784192,9084,0
832032802820481025,4413,17162
831939777352105988,5813,23042
831926988323639298,34,324
831911600680497154,6147,26466
831670449226514432,1725,10026
831650051525054464,1830,6855
831552930092285952,2214,8649
831322785565769729,1482,8951
831315979191906304,1059,6297
831309418084069378,2333,11348
831262627380748289,1951,11442
830956169170665475,1416,7687
830583320585068544,15838,64078
830173239259324417,5382,0
830097400375152640,2776,9379
829878982036299777,4744,0
829861396166877184,1835,11800
829501995190984704,10045,30574
829449946868879360,1911,10101
829141528400556032,6960,23445
829011960981237760,15547,51410
828801551087042563,3247,0
828770345708580865,5556,24645
828708714936930305,10633,35125
828650029636317184,1275,9175
828409743546925057,1104,6142
828408677031882754,1223,7417
828381636999917570,2117,12152
828376505180889089,1015,7129
828372645993398273,2780,12150
828361771580813312,169,2107
828046555563323392,2728,11319
828011680017821696,2048,10005
827933404142436356,4973,19310
827653905312006145,2873,14941
827600520311402496,885,7222
827324948884643840,2875,15286
827199976799354881,2116,10215
826958653328592898,4744,20803
826848821049180160,9618,34844
826615380357632002,3781,0
826598799820865537,234,4954
826598365270007810,2229,9656
826476773533745153,3997,17733
826240494070030336,2475,12803
826204788643753985,874,4709
826115272272650244,2952,15081
825876512159186944,1775,10124
825829644528148480,2393,12309
825535076884762624,16786,55163
825147591692263424,4308,17658
825120256414846976,1188,0
825026590719483904,1188,6041
824796380199809024,5242,0
824775126675836928,3345,14405
824663926340194305,1685,10150
824325613288833024,10140,11423
824297048279236611,3669,14542
824025158776213504,573,4674
823939628516474880,2601,10287
823719002937630720,10636,0
823699002998870016,2400,13506
823581115634085888,2503,12564
823333489516937216,22,680
823322678127919110,3821,15169
823269594223824897,9442,0
822975315408461824,3290,16756
822872901745569793,41078,126939
822859134160621569,2169,12775
822647212903690241,6105,0
822610361945911296,2801,14306
822489057087389700,6105,17512
822462944365645825,13550,26919
822244816520155136,9442,33804
822163064745328640,4519,0
821886076407029760,2199,10924
821813639212650496,3200,0
821765923262631936,1593,8118
821522889702862852,1664,7755
821421320206483457,5299,0
821407182352777218,4108,11336
821153421864615936,9,241
821149554670182400,1867,8309
821107785811234820,2032,9275
821044531881721856,2177,12249
820837357901512704,6408,0
820749716845686786,9445,30542
820690176645140481,3076,11830
820494788566847489,538,0
820446719150292993,2451,0
